StartTime,MeanTime,Group,Summary
1343435190,1343439163,1251,RT @Drake_Rhymes: Can't wait for gymnastics somersault. Your girl on my pole vault. #London2012 #Olympics
1343435177,1343439172,1252,can't wait for track&field and gymnastics !!! #OLYMPICS #OlympicsTODAY #olympics2012
1343435168,1343439180,1253,RT @typicalgymprobs: the only time I will leave my couch for the next few weeks is to get food and go to gymnastics #london2012 #typical ...
1343435164,1343439207,1254,RT @NBCOlympics: US! RT @AAinsworthNBC: Who else can't wait for gymnastics to begin tomorrow!? #london2012 #gymnastics
1343435148,1343439210,1255,RT @typicalgymprobs: the only time I will leave my couch for the next few weeks is to get food and go to gymnastics #london2012 #typical ...
1343435141,1343439230,1256,RT @TerrellYutzie: #OLYMPICS START TONIGHTTT! #gymnastics #London2012
1343435138,1343439237,1257,waited for this day for a long time! it's finally here 💗 #london2012 #TeamUSA 🇺🇸 #gymnastics #openingceremonies
1343435123,1343439252,1258,RT @AAinsworthNBC: Who else can't wait for gymnastics to begin tomorrow!? #london2012 #gymnastics
1343435120,1343439255,1259,Looking good Team Canada! RT @VictoriaMoors: #london2012 #gymnastics http://t.co/YlnhUpF5
1343435112,1343439274,1260,RT @typicalgymprobs: the only time I will leave my couch for the next few weeks is to get food and go to gymnastics #london2012 #typical ...
1343435111,1343439275,1261,RT @typicalgymprobs: the only time I will leave my couch for the next few weeks is to get food and go to gymnastics #london2012 #typical ...
1343435092,1343439282,1262,So excited for the gymnastics part of the #Olympics2012
1343435070,1343439288,1263,RT & wish @jake_dalton (Fernley native and Sparks resident) luck in #London2012 as he competes for #TeamUSA in men’s gymnastics!
1343435058,1343439312,1264,What #london2012 #olympics events are you excited for? Me= #Weightlifting and #gymnastics
1343435056,1343439320,1265,waaaaaaw cant wait for diving and gymnastics #olympics
1343435054,1343439326,1266,I still find it kind of crazy one of my old gymnastics coaches is the head coach for Russia #Olympics2012 🇺🇸🇺🇸🇺🇸🇺🇸
1343435048,1343439338,1267,RT @Drake_Rhymes: Can't wait for gymnastics somersault. Your girl on my pole vault. #London2012 #Olympics
1343435043,1343439369,1268,Ahhh SO excited. 🎀 #olympics #gymnastics #pinklove http://t.co/nPhGiQUf
1343435031,1343439371,1269,I can't wait to introduce K to gymnastics I think she will enjoy watching it. #London2012
1343435023,1343439380,1270,RT @LAStanch: I can't wait to watch gymnastics!!! #olympics #badbitches 👍
1343435013,1343439383,1271,Who is excited for the #Olympics starting tonight? What's your favorite event? I love track and filed and gymnastics if I had to pick!
1343434994,1343439392,1272,RT @TerrellYutzie: #OLYMPICS START TONIGHTTT! #gymnastics #London2012
1343434984,1343439393,1273,RT @AAinsworthNBC: Who else can't wait for gymnastics to begin tomorrow!? #london2012 #gymnastics
1343434961,1343439424,1274,Hopes @JKCorden is entered into the rhythmic gymnastics team gb will win gold easily #london2012
1343434960,1343439448,1275,RT @Drake_Rhymes: Can't wait for gymnastics somersault. Your girl on my pole vault. #London2012 #Olympics
1343434958,1343439469,1276,RT @wogagymnastics: #FF #TeamUSA #FAB5 @Aly_Raisman @kyla_ross96 @jordyn_wieber @gabrielledoug @McKaylaMaroney! #London2012
1343434942,1343439487,1277,Opening ceremony for the Olympics tonight! Bring on the fondue! So beyond pumped for the gymnastics! #london2012
1343434940,1343439494,1278,@Andreametcalf gymnastics is my 2nd most preferred sport to watch. I'm mesmerized by their amazing talent precision and ability #olympics
1343434939,1343439497,1279,Is Shawn Johnson still in the USA gymnastics team? She's the main reason I watch it! ♥__♥ #Olympics
1343434939,1343439504,1280,RT @Olirowlands: Not lying will probably cry if team GB win any golds in gymnastics @BGMediaTeam #letsGoGB #GoForGold #olympics
1343434937,1343439514,1281,RT @taylordouglas73: So excited for the #olympics #gymnastics #diving
1343434931,1343439521,1282,Gymnastics fans for olympics follow her! RT @AAinsworthNBC: Who else can't wait for gymnastics to begin tomorrow!? #london2012 #gymnastics
1343434914,1343439536,1283,RT @ChillyChelseaaa: Ahhh SO excited. 🎀 #olympics #gymnastics #pinklove http://t.co/nPhGiQUf
1343434912,1343439536,1284,RT @LAStanch: I can't wait to watch gymnastics!!! #olympics #badbitches 👍
1343434905,1343439538,1285,RT @typicalgymprobs: the only time I will leave my couch for the next few weeks is to get food and go to gymnastics #london2012 #typical ...
1343434894,1343439560,1286,RT @ChillyChelseaaa: Ahhh SO excited. 🎀 #olympics #gymnastics #pinklove http://t.co/nPhGiQUf
1343434892,1343439566,1287,RT @AAinsworthNBC: Who else can't wait for gymnastics to begin tomorrow!? #london2012 #gymnastics
1343434884,1343439581,1288,RT @Drake_Rhymes Can't wait for gymnastics somersault. Your girl on my pole vault. #London2012 #Olympics
1343434882,1343439582,1289,the #olympics are here!! could watch swimming gymnastics and hot harry all day. #london2012
1343434870,1343439593,1290,RT @jayhere: waaaaaaw cant wait for diving and gymnastics #olympics
1343434867,1343439603,1291,RT @OlDirtyMeza: Girl gymnastics #Olympics >>>
1343434865,1343439604,1292,RT @justinhwu: Goodluck to my mama kyna on her #olympics2012 run today with the Canadian gymnastics team! #fletchers
1343434860,1343439608,1293,RT @Olirowlands: Not lying will probably cry if team GB win any golds in gymnastics @BGMediaTeam #letsGoGB #GoForGold #olympics
1343434856,1343439623,1294,#Olympics I'm watching for swimming gymnastics and all the others ahaha.
1343434852,1343439625,1295,I'm ready to see the gymnastics part of the #Olympics !! That's alway fascinating to me !! ^_^
1343434849,1343439656,1296,RT @LizMilin: Always enjoy watching gymnastics on the #Olympics
1343434833,1343439672,1297,RT @AAinsworthNBC: Who else can't wait for gymnastics to begin tomorrow!? #london2012 #gymnastics
1343434828,1343439778,1298,the only sport I plan to watch is gymnastics...always been a fave since childhood #Olympics
1343434826,1343439832,1299,#Olympics #TeamUSA we don't have shawn or naustia in gymnastics. Ohh dear
1343434820,1343439879,1300,I can't wait to watch the gymnastics event during the #olympics #favoriteevent
1343434817,1343439881,1301,RT @typicalgymprobs: the only time I will leave my couch for the next few weeks is to get food and go to gymnastics #london2012 #typical ...
1343434801,1343439903,1302,RT @NBCOlympics: US! RT @AAinsworthNBC: Who else can't wait for gymnastics to begin tomorrow!? #london2012 #gymnastics
1343434774,1343439908,1303,RT @NBCOlympics: US! RT @AAinsworthNBC: Who else can't wait for gymnastics to begin tomorrow!? #london2012 #gymnastics
1343434772,1343439918,1304,RT @Drake_Rhymes: Can't wait for gymnastics somersault. Your girl on my pole vault. #London2012 #Olympics
1343434771,1343439921,1305,RT @jayhere: waaaaaaw cant wait for diving and gymnastics #olympics
